year,month,date,pattern
2017,11,07,"[5, 1]"
2017,11,08,"[5, 1]"
2017,11,09,"[5, 1]"
2017,11,10,"[5, 1]"
2017,11,11,"[5, 1]"
2017,11,12,"[5, 1]"
2017,11,13,"[5, 1]"
2017,11,14,"[5, 1]"
2017,11,15,"[5, 1]"
2017,11,16,"[5, 1]"
2017,11,17,"[5, 1]"
2017,11,18,"[5, 1]"
2017,11,19,"[5, 0]"
2017,11,20,"[5, 0]"
2017,11,21,"[5, 0]"
2017,11,22,"[5, 0]"
2017,11,23,"[5, 0]"
2017,11,24,"[5, 0]"
2017,11,25,"[5, 1]"
2017,11,26,"[5, 1]"
2017,11,27,"[5, 1]"
2017,11,28,"[5, 1]"
2017,11,29,"[5, 1]"
2017,11,30,"[5, 1]"
2017,11,31,"[5, 0]"
2017,12,01,"[[5, '2017', '11'], 1]"
2017,12,02,"[[5, '2017', '11'], 1]"
2017,12,03,"[[5, '2017', '11'], 1]"
2017,12,04,"[[5, '2017', '11'], 1]"
2017,12,05,"[[5, '2017', '11'], 1]"
2017,12,06,"[[5, '2017', '11'], 1]"
2017,12,07,"[[5, '2017', '11'], 1]"
2017,12,08,"[[5, '2017', '11'], 1]"
2017,12,09,"[[5, '2017', '11'], 1]"
2017,12,10,"[[5, '2017', '11'], 1]"
2017,12,11,"[[5, '2017', '11'], 1]"
2017,12,12,"[[5, '2017', '11'], 1]"
2017,12,13,"[[5, '2017', '11'], 1]"
2017,12,14,"[[5, '2017', '11'], 1]"
2017,12,15,"[[5, '2017', '11'], 1]"
2017,12,16,"[[5, '2017', '11'], 1]"
2017,12,17,"[[5, '2017', '11'], 1]"
2017,12,18,"[[5, '2017', '11'], 1]"
2017,12,19,"[[5, '2017', '11'], 1]"
2017,12,20,"[[5, '2017', '11'], 1]"
2017,12,21,"[[5, '2017', '11'], 1]"
2017,12,22,"[[5, '2017', '11'], 1]"
2017,12,23,"[[5, '2017', '11'], 1]"
